lemma	instance_id	arg	issue	value
descoberta	dante_01_444119089167212544l::descoberta::1	Arg1	not-literal-substring	de nova jazida de #propina
descoberta	dante_01_444119089167212544l::descoberta::1	Arg3	not-literal-substring	em o pré-sal
diretoria	dante_01_467280097024942080l::diretoria::1	Arg2	not-literal-substring	De Regulação
divulgação	dante_01_459784600454447104l::divulgação::1	Arg1	not-literal-substring	Pesquisa dia 28
entendimento	dante_01_443800394989580289l::entendimento::1	Arg1	not-literal-substring	é que haverá uma gestão mais ética , profissional e menos politica
entrada	dante_01_446395248777113600l::entrada::1	Arg0	not-literal-substring	Todos Papeis
exemplo	dante_01_456587938256535553l::exemplo::1	Arg1	not-literal-substring	exemplo
exemplo	dante_01_456587938256535553l::exemplo::1	Arg1	null-pairing-mismatch	'exemplo'/None
exemplo	dante_01_445582260847534080l::exemplo::1	Arg2	not-literal-substring	nota-se algumas ações em o vermelho
exemplo	dante_01_456588244985995264l::exemplo::1	Arg1	not-literal-substring	exemplo
exemplo	dante_01_456588244985995264l::exemplo::1	Arg1	null-pairing-mismatch	'exemplo'/None
expectativa	dante_01_451397747661635584l::expectativa::1	Arg1	not-literal-substring	é de que sejam anunciados estímulos em a economia chinesa
exploração	dante_01_444118685725507584l::exploração::1	Arg1	not-literal-substring	de o fisiologismo em a bacia de as almas
exploração	dante_01_444119089167212544l::exploração::1	Arg1	not-literal-substring	de o fisiologismo em a bacia de as almas
hora	dante_01_443052651430031360l::hora::1	Arg1	not-literal-substring	de pensar em a PETR4
leilão	dante_01_444482105675104256l::leilão::1	Arg1	not-literal-substring	De Ações
licença	dante_01_453583096823443456l::licença::1	Arg2	not-literal-substring	Do Diretor De Distribuicao
meio	dante_01_451396974261338112l::meio::1	Arg1	not-literal-substring	de escândalos de corrupção.
oferta	dante_01_451887387464179712l::oferta::1	Arg2	not-literal-substring	-5.199999999999999
oferta	dante_01_451887387464179712l::oferta::1	Arg2	null-pairing-mismatch	'-5.199999999999999'/None
olhada	dante_01_447046296122445825l::olhada::1	Arg0	not-literal-substring	Live_trade
olhada	dante_01_447046296122445825l::olhada::1	Arg0	null-pairing-mismatch	'Live_trade'/None
olhada	dante_01_453154777913114624l::olhada::1	Arg1	not-literal-substring	vem vale5?
pedido	dante_01_445556435427287040l::pedido::1	Arg1	not-literal-substring	de Procuracao
posição	dante_01_444567446595198976l::posição::1	Arg2	not-literal-substring	que já alcançaram realização parcial
posição	dante_01_467340956761874432l::posição::1	Arg0	not-literal-substring	minhas
posição	dante_01_445910580176515074l::posição::1	Arg1	not-literal-substring	em o ibovespa
proposta	dante_01_446638058633699328l::proposta::1	Arg1	not-literal-substring	de Dividendos
reapresentação	dante_01_464415910338772993l::reapresentação::1	Arg1	not-literal-substring	Relatório De Análise Gerencial
relação	dante_01_459291976241016832l::relação::1	Arg2	not-literal-substring	R$ 2,943 bilhões em o mesmo período de 2013
retorno	dante_01_458955542136762370l::retorno::1	Arg0	not-literal-substring	da Ibovespa
zona	dante_01_468786582493745153l::zona::1	Arg2	not-literal-substring	em fibo
